,date,change,name
633,2014-07-24,1,삼성전자
634,2014-07-25,0,삼성전자
635,2014-07-28,1,삼성전자
636,2014-07-29,1,삼성전자
637,2014-07-30,1,삼성전자
638,2014-07-31,0,삼성전자
639,2014-08-01,0,삼성전자
640,2014-08-04,1,삼성전자
641,2014-08-05,0,삼성전자
642,2014-08-06,0,삼성전자
643,2014-08-07,0,삼성전자
644,2014-08-08,0,삼성전자
645,2014-08-11,1,삼성전자
646,2014-08-12,0,삼성전자
647,2014-08-13,0,삼성전자
648,2014-08-14,0,삼성전자
649,2014-08-18,0,삼성전자
650,2014-08-19,1,삼성전자
651,2014-08-20,1,삼성전자
652,2014-08-21,0,삼성전자
653,2014-08-22,1,삼성전자
654,2014-08-25,0,삼성전자
655,2014-08-26,0,삼성전자
656,2014-08-27,1,삼성전자
657,2014-08-28,1,삼성전자
658,2014-08-29,0,삼성전자
659,2014-09-01,0,삼성전자
660,2014-09-02,0,삼성전자
661,2014-09-03,0,삼성전자
662,2014-09-04,1,삼성전자
663,2014-09-05,0,삼성전자
664,2014-09-11,0,삼성전자
665,2014-09-12,1,삼성전자
666,2014-09-15,0,삼성전자
667,2014-09-16,1,삼성전자
668,2014-09-17,1,삼성전자
669,2014-09-18,0,삼성전자
670,2014-09-19,0,삼성전자
671,2014-09-22,0,삼성전자
672,2014-09-23,0,삼성전자
673,2014-09-24,0,삼성전자
674,2014-09-25,1,삼성전자
675,2014-09-26,1,삼성전자
676,2014-09-29,1,삼성전자
677,2014-09-30,0,삼성전자
678,2014-10-01,0,삼성전자
679,2014-10-02,0,삼성전자
680,2014-10-06,1,삼성전자
681,2014-10-07,1,삼성전자
682,2014-10-08,0,삼성전자
683,2014-10-10,0,삼성전자
684,2014-10-13,1,삼성전자
685,2014-10-14,1,삼성전자
686,2014-10-15,0,삼성전자
687,2014-10-16,0,삼성전자
688,2014-10-17,0,삼성전자
689,2014-10-20,1,삼성전자
690,2014-10-21,0,삼성전자
691,2014-10-22,1,삼성전자
692,2014-10-23,0,삼성전자
693,2014-10-24,1,삼성전자
694,2014-10-27,0,삼성전자
695,2014-10-28,0,삼성전자
696,2014-10-29,1,삼성전자
697,2014-10-30,1,삼성전자
698,2014-10-31,1,삼성전자
699,2014-11-03,0,삼성전자
700,2014-11-04,0,삼성전자
701,2014-11-05,0,삼성전자
702,2014-11-06,1,삼성전자
703,2014-11-07,1,삼성전자
704,2014-11-10,1,삼성전자
705,2014-11-11,0,삼성전자
706,2014-11-12,0,삼성전자
707,2014-11-13,0,삼성전자
708,2014-11-14,0,삼성전자
709,2014-11-17,1,삼성전자
710,2014-11-18,1,삼성전자
711,2014-11-19,0,삼성전자
712,2014-11-20,0,삼성전자
713,2014-11-21,1,삼성전자
714,2014-11-24,0,삼성전자
715,2014-11-25,0,삼성전자
716,2014-11-26,1,삼성전자
717,2014-11-27,1,삼성전자
718,2014-11-28,1,삼성전자
719,2014-12-01,1,삼성전자
720,2014-12-02,0,삼성전자
721,2014-12-03,1,삼성전자
722,2014-12-04,1,삼성전자
723,2014-12-05,1,삼성전자
724,2014-12-08,1,삼성전자
725,2014-12-09,1,삼성전자
726,2014-12-10,0,삼성전자
727,2014-12-11,0,삼성전자
728,2014-12-12,0,삼성전자
729,2014-12-15,0,삼성전자
730,2014-12-16,1,삼성전자
731,2014-12-17,0,삼성전자
732,2014-12-18,0,삼성전자
733,2014-12-19,1,삼성전자
734,2014-12-22,1,삼성전자
735,2014-12-23,0,삼성전자
736,2014-12-24,1,삼성전자
737,2014-12-26,1,삼성전자
738,2014-12-29,0,삼성전자
739,2014-12-30,0,삼성전자
740,2015-01-02,1,삼성전자
741,2015-01-05,1,삼성전자
742,2015-01-06,0,삼성전자
743,2015-01-07,1,삼성전자
744,2015-01-08,1,삼성전자
745,2015-01-09,0,삼성전자
746,2015-01-12,1,삼성전자
747,2015-01-13,1,삼성전자
748,2015-01-14,1,삼성전자
749,2015-01-15,0,삼성전자
750,2015-01-16,0,삼성전자
751,2015-01-19,1,삼성전자
752,2015-01-20,1,삼성전자
753,2015-01-21,1,삼성전자
754,2015-01-22,0,삼성전자
755,2015-01-23,1,삼성전자
756,2015-01-26,1,삼성전자
757,2015-01-27,1,삼성전자
758,2015-01-28,0,삼성전자
759,2015-01-29,0,삼성전자
760,2015-01-30,1,삼성전자
761,2015-02-02,1,삼성전자
762,2015-02-03,0,삼성전자
763,2015-02-04,0,삼성전자
764,2015-02-05,0,삼성전자
765,2015-02-06,1,삼성전자
766,2015-02-09,1,삼성전자
767,2015-02-10,0,삼성전자
768,2015-02-11,0,삼성전자
769,2015-02-12,0,삼성전자
770,2015-02-13,1,삼성전자
771,2015-02-16,1,삼성전자
772,2015-02-17,1,삼성전자
773,2015-02-23,0,삼성전자
774,2015-02-24,0,삼성전자
775,2015-02-25,1,삼성전자
776,2015-02-26,0,삼성전자
777,2015-02-27,0,삼성전자
778,2015-03-02,1,삼성전자
779,2015-03-03,0,삼성전자
780,2015-03-04,1,삼성전자
781,2015-03-05,0,삼성전자
782,2015-03-06,1,삼성전자
783,2015-03-09,0,삼성전자
784,2015-03-10,1,삼성전자
785,2015-03-11,1,삼성전자
786,2015-03-12,0,삼성전자
787,2015-03-13,1,삼성전자
788,2015-03-16,1,삼성전자
789,2015-03-17,1,삼성전자
790,2015-03-18,1,삼성전자
791,2015-03-19,0,삼성전자
792,2015-03-20,0,삼성전자
793,2015-03-23,1,삼성전자
794,2015-03-24,1,삼성전자
795,2015-03-25,1,삼성전자
796,2015-03-26,0,삼성전자
797,2015-03-27,0,삼성전자
798,2015-03-30,1,삼성전자
799,2015-03-31,1,삼성전자
800,2015-04-01,0,삼성전자
801,2015-04-02,1,삼성전자
802,2015-04-03,0,삼성전자
803,2015-04-06,1,삼성전자
804,2015-04-07,0,삼성전자
805,2015-04-08,1,삼성전자
806,2015-04-09,1,삼성전자
807,2015-04-10,1,삼성전자
808,2015-04-13,0,삼성전자
809,2015-04-14,0,삼성전자
810,2015-04-15,0,삼성전자
811,2015-04-16,1,삼성전자
812,2015-04-17,0,삼성전자
813,2015-04-20,0,삼성전자
814,2015-04-21,1,삼성전자
815,2015-04-22,1,삼성전자
816,2015-04-23,0,삼성전자
817,2015-04-24,0,삼성전자
818,2015-04-27,0,삼성전자
819,2015-04-28,0,삼성전자
820,2015-04-29,1,삼성전자
